Export;EXP-2024-001 (2024-08-26T08:19:22+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
Periode;2024-06-01T00:00:00+01:00 - 2024-07-01T00:00:00+01:00;;;BeheerderMeetStation;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Posterholt-Vlodropperweg;Vredepeel-Vredeweg;Wijnandsrade-Opfergeltstraat;Heerlen-Looierstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Huijbergen-Vennekenstraat;Eindhoven-Genovevalaan;Eindhoven-Noordbrabantlaan;Breda-Tilburgseweg;Breda-Bastenakenstraat;Fijnaart-Zwingelspaansedijk;Veldhoven-Europalaan;Nistelrode-Gagelstraat;Zierikzee-Lange Slikweg;Philippine-Stelleweg;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;Westmaas-Groeneweg;Dordrecht-Bamendaweg;De Zilk-Vogelaarsdreef;Den Haag-Veerkade;Den Haag-Bleriotlaan;Vlaardingen-Riouwlaan;Den Haag-Neherkade;Wieringerwerf-Medemblikkerweg;Haarlem-Schipholweg;Biddinghuizen-Kuilweg;Zegveld-Oude Meije;Utrecht-Kardinaal de Jongweg;Utrecht-Constant Erzeijstraat;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Eibergen-Lintveldseweg;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Hellendoorn-Luttenbergerweg;Barsbeek-De Veenen;Balk-Trophornsterweg;Valthermond-Noorderdiep;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.119194,6.042399);(51.54052,5.85307);(50.902281,5.881748);(50.887959,5.970496);(50.900317,5.986853);(51.51844,5.14845);(51.434443,4.359835);(51.468662,5.47235);(51.444157,5.444833);(51.593533,4.824944);(51.60308,4.781016);(51.653729,4.515271);(51.407365,5.393328);(51.698187,5.54332);(51.634706,3.916623);(51.294498,3.749484);(52.077148,4.289185);(51.914233,4.479923);(51.786579,4.450529);(51.800658,4.708239);(52.296556,4.510817);(52.075071,4.315872);(52.039023,4.359376);(51.914883,4.32943);(52.062537,4.318551);(52.803657,5.050509);(52.370508,4.642319);(52.423214,5.593378);(52.13795,4.83819);(52.105031,5.124464);(52.067748,5.120507);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.091801,6.605367);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.388272,6.402933);(52.654144,6.017571);(52.916915,5.573491);(52.875725,6.932432);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;regionaal;regionaal;stad;stad;regionaal;regionaal;stad;stad;stad;stad;regionaal;stad;regionaal;regionaal;regionaal;stad;stad;regionaal;stad;regionaal;stad;stad;stad;stad;regionaal;stad;regionaal;regionaal;stad;stad;regionaal;stad;regionaal;regionaal;regionaal;stad;stad;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad
;;;;StationsType;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;verkeer;verkeer;achtergrond;verkeer;achtergrond;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie
;;;;Meetopstelling;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser
;;;;Accreditatienummer;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NOx;uur;µg NO2/m³;2024-06-01T00:00:00+01:00;2024-06-01T01:00:00+01:00;5.22;3.91;3.57;8.78;4.17;3.83;3.42;5.01;7.91;5.36;3.56;;3.77;3.59;2.35;4.63;2.33;4.45;8.44;4;1.36;7.1;3.45;5.88;2.67;2.61;9.66;2.53;2.94;6.44;6.6;12.96;4.53;3.14;3.14;2.14;12.41;4.02;9.04;2.66;1.38;3.68;3.47;11.66;3.72
NOx;uur;µg NO2/m³;2024-06-01T01:00:00+01:00;2024-06-01T02:00:00+01:00;4.85;3.52;2.97;14.46;4.15;2.5;3.38;4.61;4.88;4.25;4.12;;2.53;2.2;1.77;2.74;1.87;3.2;5.12;3.35;1.28;5.21;3.53;4.12;2.53;1.83;3.26;1.31;3.68;5.29;6.64;11.73;3.76;2.77;2.27;1.58;10.49;3.13;6.98;2.02;0.52;3.42;3.41;8.07;3.06
NOx;uur;µg NO2/m³;2024-06-01T02:00:00+01:00;2024-06-01T03:00:00+01:00;4.04;2.74;2.57;5.82;2.76;2.59;2.57;2.51;3.1;4.65;3.85;;1.56;3.22;1.98;1.63;1.54;3.32;5.97;3.4;2.58;4.11;3.3;3.26;2.66;1.77;3.87;1.23;4.06;4.25;7.4;9.78;3.13;3.77;2.06;2.53;8.94;3.77;2.63;1.76;1.06;4.04;2.14;8.61;3.28
NOx;uur;µg NO2/m³;2024-06-01T03:00:00+01:00;2024-06-01T04:00:00+01:00;3.95;3.02;2.1;9.98;4.86;2.72;2.7;2.97;4.4;5.7;4.28;;2.09;3.43;2.29;2.19;1.98;3.9;4.18;3.86;2.79;3.43;3.78;2.95;2.75;2.18;2.88;0.95;4.01;1.04;3.89;8.44;1.16;4.07;2.13;4.55;11.48;4.32;2.78;1.38;1.06;4.94;2.06;5.5;2.75
NOx;uur;µg NO2/m³;2024-06-01T04:00:00+01:00;2024-06-01T05:00:00+01:00;3.03;3.13;2.55;3.65;3.01;3.65;3.02;4.93;5.35;4.85;2.97;;2.43;3.97;1.2;3.7;2.51;3.4;4.21;4.5;1.25;3.93;3.43;4.12;3.39;2.68;2.72;0.88;3.58;0.98;1.94;13.42;1.02;3.65;3.23;1.21;20.19;7.09;3.07;1.28;0.36;4.36;4.77;5.27;2.35
NOx;uur;µg NO2/m³;2024-06-01T05:00:00+01:00;2024-06-01T06:00:00+01:00;3.13;4.32;2.94;5.63;3.63;3.06;3.88;8.8;9.82;3.36;2.32;;3.12;4.42;1.67;4.92;2.05;2.83;5.37;4.4;1.3;3.3;3.74;7.28;3;2.06;2.65;1.6;3.61;1.39;3.53;17.61;1.38;3.28;2.57;0.87;19.45;7.53;1.99;1.75;-0.46;4.75;2.1;9.22;3.38
NOx;uur;µg NO2/m³;2024-06-01T06:00:00+01:00;2024-06-01T07:00:00+01:00;4.97;4.58;3.06;9.39;4.07;3.16;3.95;10.51;16.04;3.51;2.72;;3.96;18.15;2.05;4.36;3.31;4.66;5.59;4.74;1.06;7.71;4.18;8.12;3.3;2.15;36.95;0.71;3.97;1.93;7.16;20.25;2.02;4.54;2.07;1.6;16.79;6.6;2.42;3.71;0.95;5.14;2.47;9.73;2.35
NOx;uur;µg NO2/m³;2024-06-01T07:00:00+01:00;2024-06-01T08:00:00+01:00;6.78;3.98;3.86;18.09;6.11;3.32;4.33;10.25;19.49;4.99;3.61;;5.38;11.11;3.19;4.69;3.4;4.54;6.74;4.52;2.08;7.09;5.06;7.87;4.22;2.2;41.63;1.06;4.58;2.23;6.51;23.35;2.13;5.23;2.65;1.71;30.97;6;4.4;5.95;2.63;4.71;3.4;14.21;2.82
NOx;uur;µg NO2/m³;2024-06-01T08:00:00+01:00;2024-06-01T09:00:00+01:00;6.35;8.42;4.21;19.22;7.88;3.79;3.76;12.51;15.2;6.27;4.1;;4.62;14.83;1.93;3.58;3.6;7.46;7.78;6.54;1.79;10.63;6.4;10.43;5.78;2.26;6.95;1.77;5.48;2.51;11.26;19.44;2.61;5.19;3.39;3.1;36.46;7.63;9.01;2.99;2.82;5.91;2.44;16.03;3.46
NOx;uur;µg NO2/m³;2024-06-01T09:00:00+01:00;2024-06-01T10:00:00+01:00;6.63;8.55;4.26;18.15;4.15;4.35;4.86;18.44;16.48;9.57;5.23;;5.65;13.29;2.12;5.77;3.79;8.69;8.42;6.63;1.39;10.49;6.35;12.03;6.24;1.97;6.15;1.11;5.11;2.06;12.15;17.96;2.29;5.49;4.65;2.18;51.4;12.12;17.03;2.9;0.44;4.63;2.52;18.42;2.3
NOx;uur;µg NO2/m³;2024-06-01T10:00:00+01:00;2024-06-01T11:00:00+01:00;10.3;6.27;3.91;21.31;7.54;4.38;5.79;22.3;23.23;8.65;5.7;;6.7;8.6;2.97;4.18;3.86;6.92;5.69;7.21;1.58;12.07;5.28;12.49;7.01;1.99;7.74;0.88;5.52;2.48;12.31;25.23;2.73;11.88;3.41;2.46;67.76;11.06;11.89;4;-0.08;3.7;1.99;23.12;1.9
NOx;uur;µg NO2/m³;2024-06-01T11:00:00+01:00;2024-06-01T12:00:00+01:00;12.85;4.98;5.19;20.59;7.86;4.64;6.05;28.6;30.31;10.16;6.53;;5.44;13.95;1.76;3.98;4.36;7.52;6.53;8.57;0.87;10.68;6.62;10.71;6.88;2.27;9.09;0.76;5.05;2.15;17.75;19.3;2.25;15.15;3.8;5.56;67.28;12.6;9.27;2.65;0.71;3.24;1.91;20.29;0.93
NOx;uur;µg NO2/m³;2024-06-01T12:00:00+01:00;2024-06-01T13:00:00+01:00;13.52;4.31;7.22;33.2;8.96;5.41;5.75;22.29;28.79;9.75;7.08;;4.1;17.45;1.96;4.14;5.25;6.99;5.46;8.41;1.06;10.54;5.97;9.98;6.6;2.12;12.19;0.68;5.62;2.44;14.56;21.4;2.9;5.28;3.25;2.82;41.66;10.2;7.31;2.58;0.54;2.51;1.53;22.11;1.11
NOx;uur;µg NO2/m³;2024-06-01T13:00:00+01:00;2024-06-01T14:00:00+01:00;8.18;3.72;5.41;33.6;6.38;4.91;6.73;19.28;26.45;10.23;7.15;;5.39;15.83;2.29;3.58;3.92;5.54;5.4;7.4;0.92;13.65;5.66;11.4;8.54;1.89;9.78;0.89;4.96;2.87;12.24;28.23;2.92;7.43;2.87;10.43;32.3;10.71;4.87;2.17;-0.02;2.22;1.5;23.51;1.3
NOx;uur;µg NO2/m³;2024-06-01T14:00:00+01:00;2024-06-01T15:00:00+01:00;5.96;3.25;2.9;30.76;4.19;4.31;5.94;17.2;22.78;9.68;6.59;;5.66;11.42;2.53;3.78;3.66;4.95;3.43;9.51;1.1;12.02;4.56;11.06;6.6;1.91;8.02;0.88;6.02;2.88;12.06;21.17;3.02;6.08;2.5;2.62;29.97;8.2;8.28;1.74;0.66;2.52;1.42;20.19;0.97
NOx;uur;µg NO2/m³;2024-06-01T15:00:00+01:00;2024-06-01T16:00:00+01:00;6.45;2.51;4.88;37.41;4.48;3.68;5.23;17.6;26.72;10.77;7.21;;4.19;13.74;1.75;4.11;4.15;5.58;4.46;8.37;0.15;12.96;6.09;13.56;7.09;1.47;6.2;1.04;4.98;2.82;12.52;20.15;2.96;5.5;2.37;2.67;33.18;10.09;3.73;1.37;0.21;2.47;0.64;22.32;1.08
NOx;uur;µg NO2/m³;2024-06-01T16:00:00+01:00;2024-06-01T17:00:00+01:00;6.01;2.54;3.87;35.65;5.12;4.25;5.36;18.53;26.56;8.84;6.95;;3.59;12.71;2.52;5.92;4.03;5.35;2.98;8.57;0.4;13.71;5.22;9.1;6.34;1.49;8.27;0.75;4.58;2.67;14.37;22.4;2.67;4.94;2.27;2.11;29.79;10.28;4.07;1.47;0.03;1.73;0.83;21.68;0.84
NOx;uur;µg NO2/m³;2024-06-01T17:00:00+01:00;2024-06-01T18:00:00+01:00;5;2.08;4.67;25.64;5.16;3.69;5.91;14.18;18.92;8.34;7.24;;4.7;12.62;1.8;4.48;3.52;5.06;3.23;8.42;0.94;15.39;5.07;9.18;6.16;1.09;7.35;0.49;4.28;2.5;13.01;22.65;2.16;4.54;1.92;1.54;20.07;8.62;4.24;0.83;-0.55;2.22;1.19;20.12;0.75
NOx;uur;µg NO2/m³;2024-06-01T18:00:00+01:00;2024-06-01T19:00:00+01:00;4.53;2.34;6.55;19.04;4.55;4.02;5.46;13.1;16.49;8.19;6.49;;3.26;12.2;1.43;4.05;4.27;5.17;4.1;7.91;0.83;11.8;5.87;8.73;5.29;1.08;5.4;0.25;3.76;2.3;9.02;28.11;1.98;4.44;2.44;1.63;20.43;6.97;6.44;1.2;-0.9;1.73;1.51;20.77;1.43
NOx;uur;µg NO2/m³;2024-06-01T19:00:00+01:00;2024-06-01T20:00:00+01:00;4.47;1.87;7.09;20.18;4.89;2.96;5.47;11.16;10.81;7.2;5.56;;3.12;13.41;2.51;3.05;4.34;5.64;3.9;7.12;0.25;10.31;4.72;7.39;5.31;1.36;4.21;0.26;3.09;1.55;7.21;13.15;1.55;3.92;1.68;0.9;14.71;6.64;7.02;0.1;-0.05;1.98;1.02;18.19;1.21
NOx;uur;µg NO2/m³;2024-06-01T20:00:00+01:00;2024-06-01T21:00:00+01:00;3;2.35;4.9;18.37;4.25;2.93;4.69;7.24;8.86;7.25;5.44;;3.13;14.22;2.15;5.74;3.12;5.35;2.99;6.22;0.44;8.24;4.06;4.71;2.59;1.68;4.13;-0.19;2.66;1.75;6.05;11.32;1.46;3.56;1.62;0.72;32.84;6.73;4.79;0.4;0.18;1.78;1.28;13.59;0.26
NOx;uur;µg NO2/m³;2024-06-01T21:00:00+01:00;2024-06-01T22:00:00+01:00;3.02;1.51;4.58;23.38;3.3;1.64;4.62;5.74;7.64;5.76;4.19;;2.3;14.79;2.3;6.53;3.68;4.72;3.84;4.94;0.89;8.49;5.15;6.28;3.36;1.94;3.43;0.68;3.13;1.65;5.3;17.52;1.33;2.94;1.61;0.41;30.15;6.08;8.84;0.17;0.52;1.04;1.41;11.58;0.36
NOx;uur;µg NO2/m³;2024-06-01T22:00:00+01:00;2024-06-01T23:00:00+01:00;2.93;1.57;3.27;15.67;2.23;1.72;3.99;2.88;9.71;3.53;3.11;;1.28;9.47;2.11;4.1;3.97;6.49;4.82;3.33;0.73;9.07;3.89;6.46;3.31;1.65;4.34;0.81;2.22;1.48;5.64;25.21;1.55;2.52;0.88;0.7;32.24;5.04;12.14;0.6;0.7;1.06;1.06;14.75;0.46
NOx;uur;µg NO2/m³;2024-06-01T23:00:00+01:00;2024-06-02T00:00:00+01:00;2.98;1.02;1.45;12.84;1.93;1.54;3.88;4.99;6.27;2.86;2.45;;1.52;5.93;2.25;4.02;3.52;5.78;4.58;3.8;0.76;7.52;4.02;3.94;5.04;2.12;4.33;0.94;2.12;1.75;4.83;21.53;1.49;2.37;0.67;0.74;25.19;3.67;6.42;0.29;0.94;0.76;1.53;14.82;0.75
NOx;uur;µg NO2/m³;2024-06-02T00:00:00+01:00;2024-06-02T01:00:00+01:00;2.89;2.41;2.28;6.07;2.21;2.18;2.15;3.39;8.42;3.34;3.58;;1.98;18.15;1.96;4.01;2.88;5.81;3.3;2.98;0.69;5;3.4;7.51;4.24;2.26;;1.46;2.3;2.07;4.05;16.65;2.3;2.62;2.56;1.14;23.46;3.51;4.16;2.01;1.77;1.79;3.2;8.17;1.37
NOx;uur;µg NO2/m³;2024-06-02T01:00:00+01:00;2024-06-02T02:00:00+01:00;2.2;1.91;1.57;4.14;1.95;2;1.13;2.39;4.1;2.72;2.27;;1.75;15.11;1.6;3.03;2.25;3.56;2.18;2;0.84;5.84;3.2;5.86;3.19;1.72;2.5;0.28;2.58;0.99;3.72;12.03;1.42;2.54;1.68;0.77;19.18;2.5;1.16;1.53;2.13;1.06;1.67;6.82;0.63
NOx;uur;µg NO2/m³;2024-06-02T02:00:00+01:00;2024-06-02T03:00:00+01:00;2.31;2.04;1.47;5.54;1.67;1.7;1.52;2.46;2.98;2.63;2.11;;2.05;8.32;1.73;1.64;1.4;2.44;2.22;1.31;0.17;4.34;1.18;2.8;1.94;2.06;2.69;1.13;2.92;1.27;4.34;12.16;1.61;2.51;1.66;0.82;22.59;7.37;0.99;1.53;1.37;1.2;1.81;5.2;0.38
NOx;uur;µg NO2/m³;2024-06-02T03:00:00+01:00;2024-06-02T04:00:00+01:00;2.22;2.08;1.5;5.4;1.7;1.47;1.17;3.09;3.27;2.86;1.86;;2.14;11.33;2.19;1.63;0.98;3.97;2.81;1.42;0.94;3.97;1.67;2.24;1.68;2.1;3.46;1.36;3.49;1.69;3.29;10.57;1.79;2.43;1.77;0.84;11.34;2.12;1.98;1.59;1.14;1.49;1.38;5.34;0.27
NOx;uur;µg NO2/m³;2024-06-02T04:00:00+01:00;2024-06-02T05:00:00+01:00;2.39;1.6;1.34;3.01;1.45;1.49;0.86;2.91;3.69;2.79;1.86;;1.65;15.47;1.5;2.37;1.16;1.68;2.78;2.63;0.75;3.33;0.92;3.56;1.66;1.88;8.76;1.21;3.67;1.46;3.16;11.2;1.58;2.13;2.2;0.98;10.25;2.22;2.35;1.65;1.2;1.37;1.73;4.78;0.28
NOx;uur;µg NO2/m³;2024-06-02T05:00:00+01:00;2024-06-02T06:00:00+01:00;2.11;2.38;1.49;3.53;1.45;1.7;1.3;3.2;3.81;3.01;1.91;;1.5;13.16;1.41;1.96;1.43;1.17;3.05;5.05;0.58;3.27;0.65;3.27;2.44;2.38;4.4;0.93;4.3;1.64;2.64;9.39;1.88;2.71;1.56;0.98;5.9;1.79;1.19;1.8;1.03;1.6;1.45;3.94;0.49
NOx;uur;µg NO2/m³;2024-06-02T06:00:00+01:00;2024-06-02T07:00:00+01:00;2.35;3.31;1.49;5.89;1.39;1.71;1.28;4.26;4.39;2.25;1.76;;2.89;11.55;2.33;3.58;0.79;1.2;2.02;4.01;0.35;3.03;0.68;3.61;1.94;2.24;3.35;0.63;3.01;1.88;3.62;12.82;2.48;3.43;1.75;1.07;9.51;2.46;1.64;1.7;1.28;1.81;1.51;4.52;0.41
NOx;uur;µg NO2/m³;2024-06-02T07:00:00+01:00;2024-06-02T08:00:00+01:00;2.94;3.65;1.41;10.65;1.6;1.93;0.88;4.83;6.63;3;2.45;;2.83;6.02;3;2.63;1.47;2.28;1.95;3.1;0.41;3.94;1.2;3.87;2.29;2.14;1.52;0.61;2.99;2.14;4.99;14.23;2.61;1.97;1.67;0.91;12.81;4.85;4.93;1.69;1.61;1.73;1.35;4.85;0.25
NOx;uur;µg NO2/m³;2024-06-02T08:00:00+01:00;2024-06-02T09:00:00+01:00;3.96;3.54;1.59;10.7;2.55;2.3;0.63;6.76;12.05;3.42;2.23;;3.36;3.6;1.6;2.96;2.08;2.06;2.37;3.96;1.78;6.86;2.31;6.67;3.24;2.16;3.57;0.73;2.88;3.11;5.17;20.55;2.88;2.73;2.69;0.98;14.05;2.58;4.7;2.2;0.88;1.34;2.44;6.91;0.38
NOx;uur;µg NO2/m³;2024-06-02T09:00:00+01:00;2024-06-02T10:00:00+01:00;4.15;3.08;1.64;10.33;2.04;1.37;0.69;8.71;10.55;5.01;2.74;;2.57;8.76;1.63;2.58;2.65;1.95;2.69;3.67;0.73;5.64;2.25;8.69;3.53;1.72;4.82;0.58;3.01;3.22;10.37;21.74;3.1;2.65;1.89;1.07;13.44;3.54;7.02;1.93;1.03;1.28;2.22;8.82;0.36
NOx;uur;µg NO2/m³;2024-06-02T10:00:00+01:00;2024-06-02T11:00:00+01:00;4.39;1.71;1.78;14.29;2.24;1.73;1.7;6.99;8.61;4.03;2.63;;2.17;9.85;1.76;3.39;2.22;2.46;2;3.62;0.12;11.27;2.23;9.12;3.7;1.65;7.32;0.61;2.96;3.36;8.9;21.57;3.19;2.27;1.56;1.05;16.31;3.92;3.03;2.08;1.14;1.29;2.04;12.37;0.38
NOx;uur;µg NO2/m³;2024-06-02T11:00:00+01:00;2024-06-02T12:00:00+01:00;5.56;1.89;2.05;21.84;2.56;2.16;2.65;9.82;12.61;4.87;2.91;;2.54;5.15;1.84;4.12;1.29;2.74;1.19;4.21;0.06;8.6;1.86;6.59;3.76;2.44;9.41;0.67;4.86;2.32;8.96;15.38;2.22;3.62;2.41;0.99;28.04;4.44;1.87;2.4;1.04;1.41;1.77;17.6;0.44
NOx;uur;µg NO2/m³;2024-06-02T12:00:00+01:00;2024-06-02T13:00:00+01:00;3.62;2.31;1.62;20.54;5.47;1.87;2.02;11.77;17.6;5.99;3.02;;2.24;5.01;1.51;4.81;1.51;2.04;0.68;3.21;0;11.86;1.66;7.29;4.27;2.08;9.32;0.48;4.68;2.76;7.91;19.23;1.97;3.88;2.27;0.98;35.43;4.23;2.03;1.82;2.31;1.49;1.88;14.71;-0.04
NOx;uur;µg NO2/m³;2024-06-02T13:00:00+01:00;2024-06-02T14:00:00+01:00;2.7;2.16;1.52;23.18;4.92;5.73;1.19;14.7;18.13;5.33;2.72;;1.89;5.6;0.91;2.69;1.41;1.47;0.7;2.13;-0.02;11.6;2.22;8.12;4.29;2.01;7.73;0.39;5.31;3.84;9.97;18.3;2.5;4.32;2.98;0.88;29.47;3.75;2.09;1.95;1.07;1.34;2.19;17.32;-0.16
NOx;uur;µg NO2/m³;2024-06-02T14:00:00+01:00;2024-06-02T15:00:00+01:00;3.87;1.97;1.46;26.23;3.17;2.96;0.7;14.14;15.44;4.55;2.72;;1.57;4.06;1.1;2.69;1.5;2.4;1.18;1.95;-0.25;11.52;1.92;7.28;4.92;2.27;8.56;0.51;4.84;2.41;7.34;15.12;2.51;4.82;2.23;0.91;16.58;3.81;1.96;1.81;0.72;1.33;1.56;13.36;0.09
NOx;uur;µg NO2/m³;2024-06-02T15:00:00+01:00;2024-06-02T16:00:00+01:00;4.62;2.13;1.91;21.18;2.05;2.27;0.81;15.96;15.01;5.29;2.31;;2.01;3.28;1.62;3.34;2.25;1.35;1.21;2.32;0.11;12.39;1.55;9.44;5.83;2.36;10.6;0.62;4.16;2.43;8.22;17.32;2.42;4.17;3.3;0.85;30.62;4.26;2.07;1.79;0.72;1.46;1.4;11.05;0.06
NOx;uur;µg NO2/m³;2024-06-02T16:00:00+01:00;2024-06-02T17:00:00+01:00;3.66;1.56;2;22.63;2.4;2.61;0.9;15.15;14.99;4.6;2.22;;2.21;3.86;2.06;1.22;2.5;2.22;1.36;1.78;0.31;19.05;2.37;7.86;4.52;2.17;6.19;0.56;4.5;2.46;7.33;21.6;2.36;4.65;3.13;0.9;23.75;4.49;1.81;1.68;0.57;1.43;1.63;16.35;0.1
NOx;uur;µg NO2/m³;2024-06-02T17:00:00+01:00;2024-06-02T18:00:00+01:00;2.64;2.21;1.51;24;2.31;2.41;1.22;10.05;10.18;4.02;2.2;;2.54;3.46;2.61;3.61;1.9;2.07;1.32;2.25;0.4;14.78;2.35;7.34;4.22;2.02;5.09;0.46;4.8;2.74;6.58;24.39;2.79;4.92;2.6;1.05;19.2;4.61;1.54;2.03;1.29;1.12;1.11;11.04;0.01
NOx;uur;µg NO2/m³;2024-06-02T18:00:00+01:00;2024-06-02T19:00:00+01:00;3.73;2.29;1.84;18.52;2.34;3.31;2.04;11.64;14.68;3.79;2.18;;2.36;1.48;1.45;1.32;3.02;2.65;1;2.27;0.63;14.92;2.97;10.76;5.29;2.42;6.25;1.27;3.73;2.71;9.44;35.5;3.2;5.74;2.29;1.06;22.39;5;1.48;2.09;0.76;1.36;1;11.1;0.23
